year,title,china_title,Articles_URL
2013,"A BAR-Domain Protein SH3P2, Which Binds to Phosphatidylinositol 3-Phosphate and ATG8, Regulates Autophagosome Formation in Arabidopsis",一种与磷酸磷脂酰肌醇3-磷酸和ATG8结合的杆状结构域蛋白SH3P2调节拟南芥自噬体的形成,http://www.plantcell.org/content/25/11/4596
2009,A Bacterial-Type ABC Transporter Is Involved in Aluminum Tolerance in Rice,细菌型ABC转运体与水稻耐铝性的关系,http://www.plantcell.org/content/21/2/655
2016,"A Barley Efflux Transporter Operates in a Na+-Dependent Manner, as Revealed by a Multidisciplinary Platform",一个多学科平台显示，大麦外排转运蛋白以钠离子依赖的方式运转,http://www.plantcell.org/content/28/1/202
2011,A Barley ROP GTPase ACTIVATING PROTEIN Associates with Microtubules and Regulates Entry of the Barley Powdery Mildew Fungus into Leaf Epidermal Cells,大麦ROP-GTPase激活蛋白与微管结合调节白粉病病菌进入叶表皮细胞,http://www.plantcell.org/content/23/6/2422
2005,"A Basic Helix-Loop-Helix Transcription Factor in Arabidopsis, MYC2, Acts as a Repressor of Blue Light–Mediated Photomorphogenic Growth",拟南芥中的一种碱性螺旋环螺旋转录因子MYC2，作为蓝光介导的光形态生长的抑制因子,http://www.plantcell.org/content/17/7/1953
2008,A Battery of Transcription Factors Involved in the Regulation of Secondary Cell Wall Biosynthesis in Arabidopsis,调控拟南芥次生细胞壁生物合成的一系列转录因子,http://www.plantcell.org/content/20/10/2763
1992,A Biochemical Phenotype for a Disease Resistance Gene of Maize.,玉米抗病基因的生化表型。,http://www.plantcell.org/content/4/1/71
2008,A Bioinformatics Approach to Investigating Leaf Development,研究叶片发育的生物信息学方法,http://www.plantcell.org/content/20/9/2283
2011,A Biophysical Model for Predicting Regulatory Interactions,预测调控相互作用的生物物理学模型,http://www.plantcell.org/content/23/4/1187
1990,A Brassica Self-Incompatibility Gene Is Expressed in the Stylar Transmitting Tissue of Transgenic Tobacco.,在转基因烟草花柱传递组织中表达了一个芸苔自交不亲和基因。,http://www.plantcell.org/content/2/1/29
2016,A Breakthrough in Monocot Transformation Methods,单子叶变换方法的突破,http://www.plantcell.org/content/28/9/1989
2010,A C Subunit of the Plant Nuclear Factor NF-Y Required for Rhizobial Infection and Nodule Development Affects Partner Selection in the Common Bean–Rhizobium etli Symbiosis,根瘤菌侵染和结瘤发育所需的植物核因子NF-Y的C亚基影响普通大豆-根瘤菌etli共生体的伙伴选择,http://www.plantcell.org/content/22/12/4142
2004,"A CDC45 Homolog in Arabidopsis Is Essential for Meiosis, as Shown by RNA Interference–Induced Gene Silencing",如RNA干扰诱导的基因沉默所示，拟南芥CDC45同系物对减数分裂至关重要,http://www.plantcell.org/content/16/1/99
2007,A CLASSY RNA Silencing Signaling Mutant in Arabidopsis,拟南芥一个RNA沉默信号突变株,http://www.plantcell.org/content/19/5/1439
2007,A CRM Domain Protein Functions Dually in Group I and Group II Intron Splicing in Land Plant Chloroplasts,陆地植物叶绿体中CRM结构域蛋白在Ⅰ组和Ⅱ组内含子剪接中的双重功能,http://www.plantcell.org/content/19/12/3864
2015,A Cascade of Sequentially Expressed Sucrose Transporters in the Seed Coat and Endosperm Provides Nutrition for the Arabidopsis Embryo,种皮和胚乳中蔗糖转运蛋白的级联表达为拟南芥胚胎提供了营养,http://www.plantcell.org/content/27/3/607
2011,A Case for Spatial Regulation in Tetrapyrrole Biosynthesis,四吡咯生物合成的空间调控,http://www.plantcell.org/content/23/12/4167
2001,A Cell Plate–Specific Callose Synthase and Its Interaction with Phragmoplastin,细胞板特异性胼胝质合成酶及其与胞浆蛋白的相互作用,http://www.plantcell.org/content/13/4/755
2009,A Cell Wall–Degrading Esterase of Xanthomonas oryzae Requires a Unique Substrate Recognition Module for Pathogenesis on Rice,水稻黄单胞菌的细胞壁降解酯酶需要一个独特的底物识别模块来研究水稻的发病机制,http://www.plantcell.org/content/21/6/1860
2002,"A Cell-Specific, Prenylation-Independent Mechanism Regulates Targeting of Type II RACs",一种细胞特异的、不依赖于prenalization的机制调节II型RACs的靶向性,http://www.plantcell.org/content/14/10/2431
2015,A Chaperone Function of NO CATALASE ACTIVITY1 Is Required to Maintain Catalase Activity and for Multiple Stress Responses in Arabidopsis,拟南芥在维持过氧化氢酶活性和多重胁迫反应中需要一个无过氧化氢酶活性1的伴侣功能,http://www.plantcell.org/content/27/3/908
2012,A Chloroplast Light-Regulated Oxidative Sensor for Moderate Light Intensity in Arabidopsis,拟南芥叶绿体光调节氧化传感器的研究,http://www.plantcell.org/content/24/5/1894
2002,"A Chloroplast Phosphate Transporter, PHT2;1, Influences Allocation of Phosphate within the Plant and Phosphate-Starvation Responses",叶绿体磷酸转运蛋白PHT2；1影响植物体内磷的分配和磷的饥饿反应,http://www.plantcell.org/content/14/8/1751
1999,A Chloroplast-Targeted Heat Shock Protein 70 (HSP70) Contributes to the Photoprotection and Repair of Photosystem II during and after Photoinhibition,叶绿体靶向热休克蛋白70（HSP70）在光抑制过程中和光抑制后对光系统II的保护和修复作用,http://www.plantcell.org/content/11/6/1165
2009,A Chloroplastic UDP-Glucose Pyrophosphorylase from Arabidopsis Is the Committed Enzyme for the First Step of Sulfolipid Biosynthesis,拟南芥叶绿体UDP葡萄糖焦磷酸化酶是合成硫脂的第一步酶,http://www.plantcell.org/content/21/3/892
1999,A Chromodomain Protein Encoded by the Arabidopsis CAO Gene Is a Plant-Specific Component of the Chloroplast Signal Recognition Particle Pathway That Is Involved in LHCP Targeting,拟南芥CAO基因编码的色域蛋白是参与LHCP靶向的叶绿体信号识别颗粒途径的植物特异性成分,http://www.plantcell.org/content/11/1/87
2006,A Chromoplast-Specific Carotenoid Biosynthesis Pathway Is Revealed by Cloning of the Tomato white-flower Locus,番茄白花基因座的克隆揭示了一条染色体特异的类胡萝卜素生物合成途径,http://www.plantcell.org/content/18/8/1947
2007,A Circadian Rhythm Set by Dusk Determines the Expression of FT Homologs and the Short-Day Photoperiodic Flowering Response in Pharbitis,黄昏设定的昼夜节律决定了天竺葵FT同源基因的表达和短日光周期开花反应,http://www.plantcell.org/content/19/10/2988
2003,"A Class-V Myosin Required for Mating, Hyphal Growth, and Pathogenicity in the Dimorphic Plant Pathogen Ustilago maydis",玉米黑粉病一种V类肌球蛋白，在双形植物病原菌玉米黑粉病中用于交配、菌丝生长和致病性,http://www.plantcell.org/content/15/12/2826
2004,A Classical Arabinogalactan Protein Is Essential for the Initiation of Female Gametogenesis in Arabidopsis,摘要经典的阿拉伯半乳聚糖蛋白是拟南芥雌配子发生的关键,http://www.plantcell.org/content/16/10/2614
2001,A Clock- and Light-Regulated Gene That Links the Circadian Oscillator to LHCB Gene Expression,一种与LHCB基因表达相关的时钟和光调节基因,http://www.plantcell.org/content/13/6/1411
2020,A Closer Look at Acyl-ACPs in Lipid Metabolism,脂代谢中酰基ACPs的研究进展,http://www.plantcell.org/content/32/4/779
2007,A Cluster of Disease Resistance Genes in Arabidopsis Is Coordinately Regulated by Transcriptional Activation and RNA Silencing,拟南芥抗病基因簇受转录激活和RNA沉默的协同调控,http://www.plantcell.org/content/19/9/2929
2019,A Coevolved EDS1-SAG101-NRG1 Module Mediates Cell Death Signaling by TIR-Domain Immune Receptors,一个共同参与的EDS1-SAG101-NRG1模块通过TIR结构域免疫受体介导细胞死亡信号,http://www.plantcell.org/content/31/10/2430
2007,A Complete MAPK Signaling Cascade That Functions in Stomatal Development and Patterning in Arabidopsis,拟南芥气孔发育和模式形成中的完整MAPK信号级联,http://www.plantcell.org/content/19/1/7
2019,A Comprehensive Map of Intron Branchpoints and Lariat RNAs in Plants,植物内含子支点和落叶松rna的综合图谱,http://www.plantcell.org/content/31/5/956
2013,A Comprehensive Mutational Analysis of the Arabidopsis Resistance Protein RPW8.2 Reveals Key Amino Acids for Defense Activation and Protein Targeting,拟南芥抗性蛋白RPW8.2的突变分析揭示了防御激活和蛋白靶向的关键氨基酸,http://www.plantcell.org/content/25/10/4242
2006,A Comprehensive Structure–Function Analysis of Arabidopsis SNI1 Defines Essential Regions and Transcriptional Repressor Activity,拟南芥SNI1的结构-功能综合分析确定了关键区域和转录抑制活性,http://www.plantcell.org/content/18/7/1750
2007,A Conserved Carboxylesterase Is a SUPPRESSOR OF AVRBST-ELICITED RESISTANCE in Arabidopsis,保守羧酸酯酶是拟南芥AVRBST诱导抗性的抑制因子,http://www.plantcell.org/content/19/2/688
2000,A Conserved Domain of the Arabidopsis GNOM Protein Mediates Subunit Interaction and Cyclophilin 5 Binding,拟南芥GNOM蛋白的保守结构域介导亚基相互作用和亲环素5结合,http://www.plantcell.org/content/12/3/343
2010,A Conserved Mechanism of Bract Suppression in the Grass Family,禾本科植物苞片抑制的保守机制,http://www.plantcell.org/content/22/3/565
2018,A Conserved Mechanism to Terminate Floral Meristems,终止花分生组织的保守机制,http://www.plantcell.org/content/30/2/260
2014,A Conserved Network of Transcriptional Activators and Repressors Regulates Anthocyanin Pigmentation in Eudicots,转录激活因子和抑制因子的保守网络调控双子叶植物花青素色素沉着,http://www.plantcell.org/content/26/3/962
2004,A Conserved Transcript Pattern in Response to a Specialist and a Generalist Herbivore,对专家和多面手食草动物的保守转录模式,http://www.plantcell.org/content/16/11/3132
2005,A Conserved Transcription Factor Mediates Nuclear Control of Organelle Biogenesis in Anciently Diverged Land Plants,一种保守的转录因子介导了远古植物细胞器生物发生的核控制,http://www.plantcell.org/content/17/7/1894
2004,A Conserved Upstream Open Reading Frame Mediates Sucrose-Induced Repression of Translation,一个保守的上游开放阅读框介导蔗糖诱导的翻译抑制,http://www.plantcell.org/content/16/7/1717
2011,"A Conserved, Mg2+-Dependent Exonuclease Degrades Organelle DNA during Arabidopsis Pollen Development",拟南芥花粉发育过程中Mg2+依赖性外切酶降解细胞器DNA的研究,http://www.plantcell.org/content/23/4/1608
2006,A Constitutive Shade-Avoidance Mutant Implicates TIR-NBS-LRR Proteins in Arabidopsis Photomorphogenic Development,一个构成性避荫突变体与拟南芥光形态发育中的TIR-NBS-LRR蛋白有关,http://www.plantcell.org/content/18/11/2919
2005,A Continent of Plant Defense Peptide Diversity: Cyclotides in Australian Hybanthus (Violaceae),植物防御肽多样性的大陆：澳大利亚紫罗兰科的环潮,http://www.plantcell.org/content/17/11/3176
2018,A Core Regulatory Pathway Controlling Rice Tiller Angle Mediated by the LAZY1-Dependent Asymmetric Distribution of Auxin,调控水稻分蘖角度的核心调控途径,http://www.plantcell.org/content/30/7/1461
2007,A Core Subunit of the RNA-Processing/Degrading Exosome Specifically Influences Cuticular Wax Biosynthesis in Arabidopsis,RNA加工/降解外显子的一个核心亚单位对拟南芥表皮蜡质生物合成的影响,http://www.plantcell.org/content/19/3/904
2009,A Critical Role for the TIFY Motif in Repression of Jasmonate Signaling by a Stabilized Splice Variant of the JASMONATE ZIM-Domain Protein JAZ10 in Arabidopsis,TIFY基序在茉莉酸盐信号转导中的关键作用,http://www.plantcell.org/content/21/1/131
2014,A Cyanobacterial Chlorophyll Synthase-HliD Complex Associates with the Ycf39 Protein and the YidC/Alb3 Insertase,蓝藻叶绿素合酶HliD复合物与Ycf39蛋白和YidC/Alb3插入酶的结合,http://www.plantcell.org/content/26/3/1267
2002,"A Cysteine-Rich Extracellular Protein, LAT52, Interacts with the Extracellular Domain of the Pollen Receptor Kinase LePRK2",富含半胱氨酸的细胞外蛋白LAT52与花粉受体激酶lepk2的胞外结构域相互作用,http://www.plantcell.org/content/14/9/2277
1998,A Cytoplasmic Male Sterility–Associated Mitochondrial Peptide in Common Bean Is Post-Translationally Regulated,普通大豆细胞质雄性不育相关线粒体肽的翻译后调控,http://www.plantcell.org/content/10/7/1217
2008,A Cytosolic Bypass to the Photorespiratory Cycle,光呼吸循环的细胞液旁路,http://www.plantcell.org/content/20/10/2543
2008,A Cytosolic Pathway for the Conversion of Hydroxypyruvate to Glycerate during Photorespiration in Arabidopsis,拟南芥光呼吸过程中羟基丙酮酸转化为甘油酸的胞质途径,http://www.plantcell.org/content/20/10/2848
2013,"A DEAD Box RNA Helicase Is Critical for Pre-mRNA Splicing, Cold-Responsive Gene Regulation, and Cold Tolerance in Arabidopsis",死盒RNA解旋酶对拟南芥前mRNA剪接、冷反应基因调控和耐寒性至关重要,http://www.plantcell.org/content/25/1/342
2005,A DEAD Box RNA Helicase Is Essential for mRNA Export and Important for Development and Stress Responses in Arabidopsis,死盒RNA螺旋酶是mRNA输出的必需酶，对拟南芥的发育和胁迫反应具有重要意义,http://www.plantcell.org/content/17/1/256
2014,A DEK Domain-Containing Protein Modulates Chromatin Structure and Function in Arabidopsis,一个含有DEK结构域的蛋白质调控拟南芥染色质的结构和功能,http://www.plantcell.org/content/26/11/4328
2011,A DELLA in Disguise: SPATULA Restrains the Growth of the Developing Arabidopsis Seedling,伪装的DELLA：抹刀抑制拟南芥幼苗生长,http://www.plantcell.org/content/23/4/1337
1996,A DNA binding activity for one of two closely defined phytochrome regulatory elements in an Lhcb promoter is more abundant in etiolated than in green plants.,与绿色植物相比，黄化植物中Lhcb启动子中两个紧密定义的光敏色素调节元件之一的DNA结合活性更为丰富。,http://www.plantcell.org/content/8/1/31
1994,A DNA sequence required for geminivirus replication also mediates transcriptional regulation.,双子病毒复制所需的DNA序列也介导转录调控。,http://www.plantcell.org/content/6/8/1157
1990,A DNA-binding protein factor recognizes two binding domains within the octopine synthase enhancer element.,一个DNA结合蛋白因子识别了章鱼碱合酶增强因子中的两个结合域。,http://www.plantcell.org/content/2/3/215
2009,A DYW Domain–Containing Pentatricopeptide Repeat Protein Is Required for RNA Editing at Multiple Sites in Mitochondria of Arabidopsis thaliana,拟南芥线粒体中多个位点的RNA编辑需要一个含有五肽重复蛋白的DYW结构域,http://www.plantcell.org/content/21/2/558
2011,A Data-Driven Integrative Model of Sepal Primordium Polarity in Arabidopsis,数据驱动的拟南芥萼片原基极性整合模型,http://www.plantcell.org/content/23/12/4318
2015,A Dedicated Type II NADPH Dehydrogenase Performs the Penultimate Step in the Biosynthesis of Vitamin K1 in Synechocystis and Arabidopsis,一种专门的II型NADPH脱氢酶在合成合胞菌和拟南芥维生素K1的过程中起倒数第二步的作用,http://www.plantcell.org/content/27/6/1730
1999,A Defect in β-Oxidation Causes Abnormal Inflorescence Development in Arabidopsis,β-氧化缺陷导致拟南芥花序发育异常,http://www.plantcell.org/content/11/10/1911
1996,"A Dissociation insertion causes a semidominant mutation that increases expression of TINY, an Arabidopsis gene related to APETALA2.",离解插入导致半显性突变，增加与APETALA2相关的微小拟南芥基因的表达。,http://www.plantcell.org/content/8/4/659
2014,A Distal CCAAT/NUCLEAR FACTOR Y Complex Promotes Chromatin Looping at the FLOWERING LOCUS T Promoter and Regulates the Timing of Flowering in Arabidopsis,远端CCAAT/NUCLEAR FACTOR Y复合物促进拟南芥开花位点T启动子染色质环并调控开花时间,http://www.plantcell.org/content/26/3/1009
2003,A Diterpene as an Endogenous Signal for the Activation of Defense Responses to Infection with Tobacco mosaic virus and Wounding in Tobacco,二萜作为烟草花叶病毒侵染和伤害防御反应激活的内源性信号,http://www.plantcell.org/content/15/4/863
2016,A Domain in the bHLH Transcription Factor DYT1 Is Critical for Anther Development,bHLH转录因子DYT1中的一个结构域对花药发育至关重要,http://www.plantcell.org/content/28/5/997
2016,A Dominant Mutation in the HT1 Kinase Uncovers Roles of MAP Kinases and GHR1 in CO2-Induced Stomatal Closure,HT1激酶的显性突变揭示了MAP激酶和GHR1在CO2诱导气孔关闭中的作用,http://www.plantcell.org/content/28/10/2493
2004,A Dominant Negative Mutant of Cyclin-Dependent Kinase A Reduces Endoreduplication but Not Cell Size or Gene Expression in Maize Endosperm,玉米胚乳细胞周期蛋白依赖性激酶A的显性阴性突变体减少了细胞内复制，但不影响细胞大小和基因表达,http://www.plantcell.org/content/16/7/1854
2012,A Dominant Point Mutation in a RINGv E3 Ubiquitin Ligase Homoeologous Gene Leads to Cleistogamy in Brassica napus,甘蓝型油菜花叶病毒E3泛素连接酶同源基因的一个显性点突变,http://www.plantcell.org/content/24/12/4875
2010,A Double Lock on Polyploidy-Associated Epigenetic Gene Silencing,多倍体相关表观遗传基因沉默的双重锁定,http://www.plantcell.org/content/22/1/3
2007,A Downstream Mediator in the Growth Repression Limb of the Jasmonate Pathway,茉莉酸途径生长抑制分支中的下游介质,http://www.plantcell.org/content/19/8/2470
2009,A Dual Role for the S-Locus Receptor Kinase in Self-Incompatibility and Pistil Development Revealed by an Arabidopsis rdr6 Mutation,S位点受体激酶在拟南芥rdr6突变体自交不亲和和雌蕊发育中的双重作用,http://www.plantcell.org/content/21/9/2642
2013,A Dual Strategy to Cope with High Light in Chlamydomonas reinhardtii,莱茵衣藻高光处理的双重策略,http://www.plantcell.org/content/25/2/545
2014,A Duplicated NUCLEOLIN Gene with Antagonistic Activity Is Required for Chromatin Organization of Silent 45S rDNA in Arabidopsis,拟南芥沉默45srdna的染色质组织需要一个具有拮抗活性的核仁蛋白基因,http://www.plantcell.org/content/26/3/1330
1994,A FUSCA gene of Arabidopsis encodes a novel protein essential for plant development.,拟南芥FUSCA基因编码一种植物发育所必需的新蛋白。,http://www.plantcell.org/content/6/1/25
2006,A Family of MicroRNAs Present in Plants and Animals,存在于动植物中的一个MicroRNAs家族,http://www.plantcell.org/content/18/12/3355
2016,A Family of Negative Regulators Targets the Committed Step of de Novo Fatty Acid Biosynthesis,一系列负调控因子以从头合成脂肪酸为目标,http://www.plantcell.org/content/28/9/2312
2006,A Family of Novel Monosaccharide Transporters Involved in Vacuolar Sugar Transport in Arabidopsis,参与拟南芥空泡糖转运的新型单糖转运子家族,http://www.plantcell.org/content/18/12/3353a
2007,A Feedback Regulatory Module Formed by LITTLE ZIPPER and HD-ZIPIII Genes,由小拉链和HD-ZIPIII基因组成的反馈调节模块,http://www.plantcell.org/content/19/11/3379
2006,A Ferroxidation/Permeation Iron Uptake System Is Required for Virulence in Ustilago maydis,玉米黑粉病菌的毒力需要铁氧化/渗透吸铁系统,http://www.plantcell.org/content/18/11/3332
2012,A Flavin Binding Cryptochrome Photoreceptor Responds to Both Blue and Red Light in Chlamydomonas reinhardtii,莱茵衣藻中一种与黄素结合的隐色素光感受器对蓝光和红光都有反应,http://www.plantcell.org/content/24/7/2992
2018,A Force-Generating Machine in the Plant’s Powerhouse: A Pulling AAA-ATPase Motor Drives Protein Translocation into Chloroplasts,发电厂厂房中的一台动力机器：拉动A A A-ATPase马达驱动蛋白质向叶绿体的转运,http://www.plantcell.org/content/30/11/2646
2019,A Functional Allele of CsFUL1 Regulates Fruit Length through Repressing CsSUP and Inhibiting Auxin Transport in Cucumber,CsFUL1功能等位基因通过抑制CsSUP和抑制生长素运输调节黄瓜果实长度,http://www.plantcell.org/content/31/6/1289
2016,A Functional Link between Mitochondria and the Cell Wall in Stress Responses,线粒体与细胞壁在应激反应中的功能联系,http://www.plantcell.org/content/28/9/1996
2007,A Functional Link between Rhythmic Changes in Chromatin Structure and the Arabidopsis Biological Clock,染色质结构节律变化与拟南芥生物钟的功能联系,http://www.plantcell.org/content/19/7/2111
2010,A Functional Nitric Oxide Synthase in Ostreococcus tauri,牛头鸵鸟的功能性一氧化氮合酶,http://www.plantcell.org/content/22/11/3507
2018,"A Functional Study of AUXILIN-LIKE1 and 2, Two Putative Clathrin Uncoating Factors in Arabidopsis",拟南芥中两种可能的氯氰菊酯脱衣因子-LIKE1和2的功能研究,http://www.plantcell.org/content/30/3/700
2014,A Functional and Evolutionary Perspective on Transcription Factor Binding in Arabidopsis thaliana,拟南芥转录因子结合的功能与进化研究,http://www.plantcell.org/content/26/10/3894
2004,A Fungal Metallothionein Is Required for Pathogenicity of Magnaporthe grisea,稻瘟病菌的致病性需要一种真菌金属硫蛋白,http://www.plantcell.org/content/16/6/1575
2000,A GAL4-like Protein Is Involved in the Switch between Biotrophic and Necrotrophic Phases of the Infection Process of Colletotrichum lindemuthianum on Common Bean,一种GAL4样蛋白参与了菜豆炭疽病菌侵染过程中生物营养期和坏死营养期的转换,http://www.plantcell.org/content/12/9/1579
2019,A GDSL Esterase/Lipase Catalyzes the Esterification of Lutein in Bread Wheat,GDSL酯酶/脂肪酶催化面包小麦叶黄素的酯化反应,http://www.plantcell.org/content/31/12/3092
1998,A GFP–MAP4 Reporter Gene for Visualizing Cortical Microtubule Rearrangements in Living Epidermal Cells,GFP-MAP4报告基因在活体表皮细胞皮质微管重排中的表达,http://www.plantcell.org/content/10/11/1927
2001,A Gain-of-Function Mutation in IAA28 Suppresses Lateral Root Development,IAA28功能突变增益抑制侧根发育,http://www.plantcell.org/content/13/3/465
2003,"A Gain-of-Function Mutation in a Plant Disease Resistance Gene Leads to Constitutive Activation of Downstream Signal Transduction Pathways in suppressor of npr1-1, constitutive 1",植物抗病基因功能突变的获得导致npr1-1、compositional-1抑制剂下游信号转导通路的结构性激活,http://www.plantcell.org/content/15/11/2636
2002,A Gain-of-Function Mutation in an Arabidopsis Toll Interleukin1 Receptor–Nucleotide Binding Site–Leucine-Rich Repeat Type R Gene Triggers Defense Responses and Results in Enhanced Disease Resistance,拟南芥Toll-Interleukin1受体核苷酸结合位点富含亮氨酸重复序列R基因的功能突变触发防御反应并增强抗病性,http://www.plantcell.org/content/14/12/3149
2009,A Gain-of-Function Mutation of Arabidopsis Lipid Transfer Protein 5 Disturbs Pollen Tube Tip Growth and Fertilization,拟南芥脂质转移蛋白5功能突变对花粉管顶端生长和受精的影响,http://www.plantcell.org/content/21/12/3902
2012,A Galactoglycerolipid Lipase Is Required for Triacylglycerol Accumulation and Survival Following Nitrogen Deprivation in Chlamydomonas reinhardtii,莱茵衣藻缺氮后三酰甘油积累和存活需要半乳糖甘油脂酶,http://www.plantcell.org/content/24/11/4670
2012,A Galacturonic Acid–Containing Xyloglucan Is Involved in Arabidopsis Root Hair Tip Growth,含半乳糖醛酸的木糖聚糖参与拟南芥根毛尖的生长,http://www.plantcell.org/content/24/11/4511
2002,A Geminivirus Replication Protein Interacts with a Protein Kinase and a Motor Protein That Display Different Expression Patterns during Plant Development and Infection,双生病毒复制蛋白与蛋白激酶和运动蛋白相互作用，在植物发育和感染过程中显示不同的表达模式,http://www.plantcell.org/content/14/8/1817
2008,A Gender-Specific Retinoblastoma-Related Protein in Volvox carteri Implies a Role for the Retinoblastoma Protein Family in Sexual Development,伏尔沃克斯卡特里的一种性别特异性视网膜母细胞瘤相关蛋白暗示了视网膜母细胞瘤蛋白家族在性发育中的作用,http://www.plantcell.org/content/20/9/2399
2002,A Gene Encoding an Acyl Hydrolase Is Involved in Leaf Senescence in Arabidopsis,编码酰基水解酶基因与拟南芥叶片衰老的关系,http://www.plantcell.org/content/14/4/805
2004,A Gene Regulatory Network Model for Cell-Fate Determination during Arabidopsis thaliana Flower Development That Is Robust and Recovers Experimental Gene Expression Profiles,拟南芥花发育过程中细胞命运的基因调控网络模型,http://www.plantcell.org/content/16/11/2923
2001,A Gene Related to Yeast HOS2 Histone Deacetylase Affects Extracellular Depolymerase Expression and Virulence in a Plant Pathogenic Fungus,酵母HOS2组蛋白脱乙酰酶基因对植物病原真菌胞外解聚酶表达及毒力的影响,http://www.plantcell.org/content/13/7/1609
